Source Plate Barcode,Source Well,Destination Plate Barcode,Destination Well,Volume
BAOsP3COp00028,A1,BAOsGiAsp00060,A1,350
BAOsP3COp00028,A3,BAOsGiAsp00060,A3,350
BAOsP3COp00028,A5,BAOsGiAsp00060,A5,350
BAOsP3COp00028,A7,BAOsGiAsp00060,A7,350
BAOsP3COp00028,A9,BAOsGiAsp00060,A9,350
BAOsP3COp00028,A11,BAOsGiAsp00060,A11,350
BAOsP3COp00028,A13,BAOsGiAsp00060,A13,350
BAOsP3COp00028,A15,BAOsGiAsp00060,A15,350
BAOsP3COp00028,A17,BAOsGiAsp00060,A17,350
BAOsP3COp00028,A19,BAOsGiAsp00060,A19,350
BAOsP3COp00028,A21,BAOsGiAsp00060,A21,350
BAOsP3COp00028,A23,BAOsGiAsp00060,A23,350
BAOsP3COp00028,C1,BAOsGiAsp00060,C1,350
BAOsP3COp00028,C3,BAOsGiAsp00060,C3,350
BAOsP3COp00028,C5,BAOsGiAsp00060,C5,350
BAOsP3COp00028,C7,BAOsGiAsp00060,C7,350
BAOsP3COp00028,C9,BAOsGiAsp00060,C9,350
BAOsP3COp00028,C11,BAOsGiAsp00060,C11,350
BAOsP3COp00028,C13,BAOsGiAsp00060,C13,350
BAOsP3COp00028,C15,BAOsGiAsp00060,C15,350
BAOsP3COp00028,C17,BAOsGiAsp00060,C17,350
BAOsP3COp00028,C19,BAOsGiAsp00060,C19,350
BAOsP3COp00028,C21,BAOsGiAsp00060,C21,350
BAOsP3COp00028,C23,BAOsGiAsp00060,C23,350
BAOsP3COp00028,E1,BAOsGiAsp00060,E1,350
BAOsP3COp00028,E3,BAOsGiAsp00060,E3,350
BAOsP3COp00028,E5,BAOsGiAsp00060,E5,350
BAOsP3COp00028,E7,BAOsGiAsp00060,E7,350
BAOsP3COp00028,E9,BAOsGiAsp00060,E9,350
BAOsP3COp00028,E11,BAOsGiAsp00060,E11,350
BAOsP3COp00028,E13,BAOsGiAsp00060,E13,350
BAOsP3COp00028,E15,BAOsGiAsp00060,E15,350
