Source Plate Barcode,Source Well,Destination Plate Barcode,Destination Well,Volume
PP_SP_Pla,E2,BAOsGiAsp00060,A1,650
PP_SP_Pla,F2,BAOsGiAsp00060,A3,650
PP_SP_Pla,G2,BAOsGiAsp00060,A5,650
PP_SP_Pla,E2,BAOsGiAsp00060,A7,650
PP_SP_Pla,F2,BAOsGiAsp00060,A9,650
PP_SP_Pla,E2,BAOsGiAsp00060,A11,650
PP_SP_Pla,F2,BAOsGiAsp00060,A13,650
PP_SP_Pla,G2,BAOsGiAsp00060,A15,650
PP_SP_Pla,E2,BAOsGiAsp00060,A17,650
PP_SP_Pla,F2,BAOsGiAsp00060,A19,650
PP_SP_Pla,E2,BAOsGiAsp00060,A21,650
PP_SP_Pla,F2,BAOsGiAsp00060,A23,650
PP_SP_Pla,G2,BAOsGiAsp00060,C1,650
PP_SP_Pla,E2,BAOsGiAsp00060,C3,650
PP_SP_Pla,F2,BAOsGiAsp00060,C5,650
PP_SP_Pla,E2,BAOsGiAsp00060,C7,650
PP_SP_Pla,F2,BAOsGiAsp00060,C9,650
PP_SP_Pla,E2,BAOsGiAsp00060,C11,650
PP_SP_Pla,F2,BAOsGiAsp00060,C13,650
PP_SP_Pla,E2,BAOsGiAsp00060,C15,650
PP_SP_Pla,F2,BAOsGiAsp00060,C17,650
PP_SP_Pla,E2,BAOsGiAsp00060,C19,650
PP_SP_Pla,G2,BAOsGiAsp00060,C21,650
PP_SP_Pla,E2,BAOsGiAsp00060,C23,650
PP_SP_Pla,F2,BAOsGiAsp00060,E1,650
PP_SP_Pla,E2,BAOsGiAsp00060,E3,650
PP_SP_Pla,F2,BAOsGiAsp00060,E5,650
PP_SP_Pla,E2,BAOsGiAsp00060,E7,650
PP_SP_Pla,G2,BAOsGiAsp00060,E9,650
PP_SP_Pla,E2,BAOsGiAsp00060,E11,650
PP_SP_Pla,F2,BAOsGiAsp00060,E13,650
PP_SP_Pla,E2,BAOsGiAsp00060,E15,650
PP_SP_Pla,F2,BAOsGiAsp00060,E17,650
PP_SP_Pla,E2,BAOsGiAsp00060,E19,650
PP_SP_Pla,G2,BAOsGiAsp00060,E21,650
PP_SP_Pla,E2,BAOsGiAsp00060,E23,650
PP_SP_Pla,F2,BAOsGiAsp00060,G1,650
PP_SP_Pla,E2,BAOsGiAsp00060,G3,650
PP_SP_Pla,F2,BAOsGiAsp00060,G5,650
PP_SP_Pla,E2,BAOsGiAsp00060,G7,650
PP_SP_Pla,F2,BAOsGiAsp00060,G9,650
PP_SP_Pla,E2,BAOsGiAsp00060,G11,650
PP_SP_Pla,G2,BAOsGiAsp00060,G13,650
PP_SP_Pla,E2,BAOsGiAsp00060,G15,650
PP_SP_Pla,G2,BAOsGiAsp00060,G17,650
PP_SP_Pla,E2,BAOsGiAsp00060,G19,650
PP_SP_Pla,F2,BAOsGiAsp00060,G21,650
PP_SP_Pla,E2,BAOsGiAsp00060,G23,650
PP_SP_Pla,G2,BAOsGiAsp00060,I1,650
PP_SP_Pla,E2,BAOsGiAsp00060,I3,650
PP_SP_Pla,G2,BAOsGiAsp00060,I5,650
PP_SP_Pla,E2,BAOsGiAsp00060,I7,650
