Source Plate Barcode,Source Well,Destination Plate Barcode,Destination Well,Volume
PP_BP_MasterMix,I2,BAOsGiAsp00061,A1,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,A3,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,A5,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,A7,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,A9,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,A11,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,A13,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,A15,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,A17,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,A19,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,A21,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,A23,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,C1,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,C3,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,C5,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,C7,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,C9,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,C11,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,C13,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,C15,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,C17,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,C19,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,C21,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,C23,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,E1,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,E3,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,E5,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,E7,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,E9,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,E11,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,E13,1000
PP_BP_MasterMix,I2,BAOsGiAsp00061,E15,1000
PP_BP_MasterMix,J2,BAOsGiAsp00061,E17,1000
PP_BP_MasterMix,J2,BAOsGiAsp00061,E19,1000
PP_BP_MasterMix,J2,BAOsGiAsp00061,E21,1000
PP_BP_MasterMix,J2,BAOsGiAsp00061,E23,1000
PP_BP_MasterMix,J2,BAOsGiAsp00061,G1,1000
PP_BP_MasterMix,J2,BAOsGiAsp00061,G3,1000
PP_BP_MasterMix,J2,BAOsGiAsp00061,G5,1000
PP_BP_MasterMix,J2,BAOsGiAsp00061,G7,1000
PP_BP_MasterMix,J2,BAOsGiAsp00061,G9,1000
