Well,Sample ID,ng/ul,Size (bp),% (Conc.) (ng/uL),nmole/L,RFU,TIC (ng/ul),TIM (nmole/L),Total Conc. (ng/ul),DQN,Threshold
A1,SampA1,0.0398,35,,1.8591,790,65.9584,366.1364,66.3013,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,7.0382,63,10.7,183.1726,12728,65.9584,366.1364,66.3013,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,2.9840,124,4.5,39.5359,6560,65.9584,366.1364,66.3013,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.4122,224,5.2,25.1621,8550,65.9584,366.1364,66.3013,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.4867,323,5.3,17.7578,9711,65.9584,366.1364,66.3013,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.5917,420,5.4,14.0702,10351,65.9584,366.1364,66.3013,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,9.7225,524,14.7,30.5904,28726,65.9584,366.1364,66.3013,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.2458,621,4.9,8.6292,9865,65.9584,366.1364,66.3013,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.1725,734,4.8,7.1328,9772,65.9584,366.1364,66.3013,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.2476,830,4.9,6.4631,9665,65.9584,366.1364,66.3013,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.2577,938,4.9,5.7346,10171,65.9584,366.1364,66.3013,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,9.7942,1042,14.8,15.5757,27146,65.9584,366.1364,66.3013,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.3406,1254,5.1,4.4025,10369,65.9584,366.1364,66.3013,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.2672,1530,5.0,3.5453,8204,65.9584,366.1364,66.3013,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.2083,2035,4.9,2.5953,10157,65.9584,366.1364,66.3013,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,3.1891,2983,4.8,1.7689,9865,65.9584,366.1364,66.3013,N/A (Size threshold is less than lower marker end point),0
A1,SampA1,0.5000,5000,,0.1647,16768,65.9584,366.1364,66.3013,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.0565,35,,2.6362,921,10.5324,227.5474,11.0177,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.6733,51,6.4,21.6245,402,10.5324,227.5474,11.0177,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,6.9558,62,66.0,183.9352,13576,10.5324,227.5474,11.0177,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.4305,70,4.1,9.9468,538,10.5324,227.5474,11.0177,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.0999,111,0.9,1.4917,112,10.5324,227.5474,11.0177,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.0964,118,0.9,1.3304,123,10.5324,227.5474,11.0177,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.0394,130,0.4,0.5012,52,10.5324,227.5474,11.0177,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,2.1071,421,20.0,8.3740,2517,10.5324,227.5474,11.0177,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.0866,437,0.8,0.3268,101,10.5324,227.5474,11.0177,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.0434,4228,0.4,0.0168,78,10.5324,227.5474,11.0177,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.5000,5000,,0.1646,18132,10.5324,227.5474,11.0177,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.0233,35,,1.0899,538,31.6937,271.6394,31.9507,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.5268,43,1.7,20.0478,1038,31.6937,271.6394,31.9507,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,6.7613,71,21.3,156.2096,15185,31.6937,271.6394,31.9507,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.2381,108,0.8,3.6553,145,31.6937,271.6394,31.9507,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.2119,131,0.7,2.7198,134,31.6937,271.6394,31.9507,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.9454,269,3.0,5.8240,943,31.6937,271.6394,31.9507,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.3166,285,1.0,1.8274,438,31.6937,271.6394,31.9507,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.0790,330,0.2,0.3960,74,31.6937,271.6394,31.9507,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,19.4331,459,61.3,70.1221,27710,31.6937,271.6394,31.9507,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,1.9024,472,6.0,6.6181,3845,31.6937,271.6394,31.9507,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.7433,487,2.3,2.5014,657,31.6937,271.6394,31.9507,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.4484,503,1.4,1.4581,456,31.6937,271.6394,31.9507,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.0408,539,0.1,0.1248,61,31.6937,271.6394,31.9507,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.0465,566,0.1,0.1351,72,31.6937,271.6394,31.9507,N/A (Size threshold is less than lower marker end point),0
A3,SampA3,0.5000,5000,,0.1653,20333,31.6937,271.6394,31.9507,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,0.0263,35,,1.2646,508,34.6101,279.5366,34.8395,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,0.4941,43,1.4,18.8032,941,34.6101,279.5366,34.8395,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,0.1102,57,0.3,3.2236,69,34.6101,279.5366,34.8395,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,6.7866,71,19.6,159.0273,15465,34.6101,279.5366,34.8395,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,0.2424,97,0.7,4.1024,140,34.6101,279.5366,34.8395,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,0.1168,109,0.3,1.7594,168,34.6101,279.5366,34.8395,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,26.6413,477,77.0,92.4835,37106,34.6101,279.5366,34.8395,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,0.1210,2661,0.3,0.0863,57,34.6101,279.5366,34.8395,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,0.0432,2881,0.1,0.0243,55,34.6101,279.5366,34.8395,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,0.0546,3296,0.2,0.0265,56,34.6101,279.5366,34.8395,N/A (Size threshold is less than lower marker end point),0
A4,SampA4,0.5000,5000,,0.1651,20226,34.6101,279.5366,34.8395,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.0428,35,,1.9994,913,17.3044,239.1734,17.5728,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.3711,51,2.1,12.1575,244,17.3044,239.1734,17.5728,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,6.8129,63,39.4,180.1562,15645,17.3044,239.1734,17.5728,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.2422,71,1.4,5.5958,371,17.3044,239.1734,17.5728,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.1246,99,0.7,2.0871,206,17.3044,239.1734,17.5728,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.1063,130,0.6,1.3434,100,17.3044,239.1734,17.5728,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,8.8294,421,51.0,34.9216,12800,17.3044,239.1734,17.5728,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.4885,456,2.8,1.7784,318,17.3044,239.1734,17.5728,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.3293,476,1.9,1.1335,247,17.3044,239.1734,17.5728,N/A (Size threshold is less than lower marker end point),0
A5,SampA5,0.5000,5000,,0.1647,20482,17.3044,239.1734,17.5728,N/A (Size threshold is less than lower marker end point),0
A6,SampA6,1.0152,35,,47.3996,1966,381.4460,1578.2837,384.2493,N/A (Size threshold is less than lower marker end point),0
A6,SampA6,2.7019,59,0.7,75.0637,162,381.4460,1578.2837,384.2493,N/A (Size threshold is less than lower marker end point),0
A6,SampA6,1.2029,70,0.3,29.0129,98,381.4460,1578.2837,384.2493,N/A (Size threshold is less than lower marker end point),0
A6,SampA6,1.9923,75,0.5,42.4548,155,381.4460,1578.2837,384.2493,N/A (Size threshold is less than lower marker end point),0
A6,SampA6,345.2735,432,90.5,1327.3363,40114,381.4460,1578.2837,384.2493,N/A (Size threshold is less than lower marker end point),0
A6,SampA6,25.3236,453,6.6,89.8026,1027,381.4460,1578.2837,384.2493,N/A (Size threshold is less than lower marker end point),0
A6,SampA6,4.5265,508,1.2,14.4631,179,381.4460,1578.2837,384.2493,N/A (Size threshold is less than lower marker end point),0
A6,SampA6,0.4253,4682,0.1,0.1503,85,381.4460,1578.2837,384.2493,N/A (Size threshold is less than lower marker end point),0
A6,SampA6,0.5000,5000,,0.1649,1583,381.4460,1578.2837,384.2493,N/A (Size threshold is less than lower marker end point),0
