Well,Sample ID,DQN,Size Threshold (bp),Total Conc. (ng/uL)
A1,SampA1,N/A,0,66.3013
A2,SampA2,N/A,0,11.0177
A3,SampA3,N/A,0,31.9507
A4,SampA4,N/A,0,34.8395
A5,SampA5,N/A,0,17.5728
A6,SampA6,N/A,0,384.2493
A7,SampA7,N/A,0,20.4255
A8,SampA8,N/A,0,36.6705
A9,SampA9,N/A,0,31.1284
A10,SampA10,N/A,0,35.0518
A11,SampA11,N/A,0,34.0373
A12,SampA12,N/A,0,17.2461
B1,SampB1,N/A,0,40.9770
B2,SampB2,N/A,0,33.1262
B3,SampB3,N/A,0,33.3963
B4,SampB4,N/A,0,25.2055
B5,SampB5,N/A,0,32.5295
B6,SampB6,N/A,0,9.4964
B7,SampB7,N/A,0,9.2636
B8,SampB8,N/A,0,37.1015
B9,SampB9,N/A,0,23.6708
B10,SampB10,N/A,0,42.4539
B11,SampB11,N/A,0,24.8666
B12,SampB12,N/A,0,33.8806
C1,SampC1,N/A,0,26.6860
C2,SampC2,N/A,0,24.5759
C3,SampC3,N/A,0,10.8158
C4,SampC4,N/A,0,40.5109
C5,SampC5,N/A,0,29.4266
C6,SampC6,N/A,0,36.2969
C7,SampC7,N/A,0,8.8711
C8,SampC8,N/A,0,33.0393
C9,SampC9,N/A,0,29.9504
C10,SampC10,N/A,0,25.6149
C11,SampC11,N/A,0,31.5679
C12,SampC12,N/A,0,30.6121
D1,SampD1,N/A,0,33.6351
D2,SampD2,N/A,0,35.6501
D3,SampD3,N/A,0,26.4173
D4,SampD4,N/A,0,22.6720
D5,SampD5,N/A,0,26.0160
D6,SampD6,N/A,0,33.8309
D7,SampD7,N/A,0,16.9093
D8,SampD8,N/A,0,27.3506
D9,SampD9,N/A,0,24.8328
D10,SampD10,N/A,0,19.9813
D11,SampD11,N/A,0,26.2109
D12,SampD12,N/A,0,33.1135
E1,SampE1,N/A,0,32.7835
E2,SampE2,N/A,0,28.1921
E3,SampE3,N/A,0,15.9337
E4,SampE4,N/A,0,14.5850
E5,SampE5,N/A,0,29.4180
E6,SampE6,N/A,0,27.2895
E7,SampE7,N/A,0,7.4651
E8,SampE8,N/A,0,26.2364
E9,SampE9,N/A,0,31.9164
E10,SampE10,N/A,0,35.4561
E11,SampE11,N/A,0,30.8007
E12,SampE12,N/A,0,7.8868
F1,SampF1,N/A,0,28.2031
F2,SampF2,N/A,0,26.6089
F3,SampF3,N/A,0,10.1944
F4,SampF4,N/A,0,21.1882
F5,SampF5,N/A,0,36.2439
F6,SampF6,N/A,0,24.0690
F7,SampF7,N/A,0,39.3007
F8,SampF8,N/A,0,33.1011
F9,SampF9,N/A,0,35.5359
F10,SampF10,N/A,0,25.6462
F11,SampF11,N/A,0,36.6111
F12,SampF12,N/A,0,29.7420
G1,SampG1,N/A,0,39.4864
G2,SampG2,N/A,0,37.0554
G3,SampG3,N/A,0,40.3560
G4,SampG4,N/A,0,28.7423
G5,SampG5,N/A,0,25.6019
G6,SampG6,N/A,0,35.6315
G7,SampG7,N/A,0,11.7603
G8,SampG8,N/A,0,29.8807
G9,SampG9,N/A,0,10.1504
G10,SampG10,N/A,0,35.8064
G11,SampG11,N/A,0,25.8771
G12,SampG12,N/A,0,30.2240
H1,SampH1,N/A,0,17.5184
H2,SampH2,N/A,0,20.3012
H3,SampH3,N/A,0,32.4731
H4,SampH4,N/A,0,31.5338
H5,SampH5,N/A,0,41.2289
H6,SampH6,N/A,0,43.0586
H7,SampH7,N/A,0,39.9203
H8,SampH8,N/A,0,35.3588
H9,SampH9,N/A,0,31.2544
H10,SampH10,N/A,0,32.3510
H11,SampH11,N/A,0,34.2661
H12,SampH12,N/A,0,35.3064
