Source Barcode,Source Region,Feature Position X,Feature Position Y,Destination Barcode,Destination Region
BAOsQT48p00111,A1,15.4303,38.1151,BAOsCUL1p00107,A1
BAOsQT48p00111,A2,47.4629,38.3189,BAOsCUL1p00107,B1
BAOsQT48p00111,A3,67.3764,38.867,BAOsCUL1p00107,C1
BAOsQT48p00111,A4,108.695,38.4356,BAOsCUL1p00107,D1
BAOsQT48p00111,B1,11.6253,72.6576,BAOsCUL1p00107,E1
BAOsQT48p00111,B2,40.3474,72.4063,BAOsCUL1p00107,F1
BAOsQT48p00111,B3,76.4642,71.4761,BAOsCUL1p00107,G1
BAOsQT48p00111,B4,105.063,72.8268,BAOsCUL1p00107,H1
BAOsQT48p00111,C1,15.4319,105.326,BAOsCUL1p00107,A2
BAOsQT48p00111,C2,53.6913,105.213,BAOsCUL1p00107,B2
BAOsQT48p00111,C3,82.2032,105.1,BAOsCUL1p00107,C2
BAOsQT48p00111,C4,108.744,102.865,BAOsCUL1p00107,D2
BAOsQT48p00111,D1,14.3835,137.334,BAOsCUL1p00107,E2
BAOsQT48p00111,D2,45.7151,139.669,BAOsCUL1p00107,F2
BAOsQT48p00111,D3,72.2829,139.861,BAOsCUL1p00107,G2
BAOsQT48p00111,D4,91.8029,138.787,BAOsCUL1p00107,H2
BAOsQT48p00111,E1,22.057,170.554,BAOsCUL1p00107,A3
BAOsQT48p00111,E2,48.3583,173.034,BAOsCUL1p00107,B3
BAOsQT48p00111,E3,69.7446,168.252,BAOsCUL1p00107,C3
BAOsQT48p00111,E4,103.988,173.253,BAOsCUL1p00107,D3
BAOsQT48p00111,F1,22.5018,206.222,BAOsCUL1p00107,E3
BAOsQT48p00111,F2,53.5154,205.092,BAOsCUL1p00107,F3
BAOsQT48p00111,F3,75.2024,206.741,BAOsCUL1p00107,G3
BAOsQT48p00111,F4,99.6521,206.894,BAOsCUL1p00107,H3
BAOsQT48p00111,A5,131.816,38.4523,BAOsCUL1p00107,A4
BAOsQT48p00111,A6,161.838,38.593,BAOsCUL1p00107,B4
BAOsQT48p00111,A7,187.572,37.7742,BAOsCUL1p00107,C4
BAOsQT48p00111,A8,220.53,39.1203,BAOsCUL1p00107,D4
BAOsQT48p00111,B5,134.324,72.0597,BAOsCUL1p00107,E4
BAOsQT48p00111,B6,162.704,72.0697,BAOsCUL1p00107,F4
BAOsQT48p00111,B7,184.047,72.5638,BAOsCUL1p00107,G4
BAOsQT48p00111,B8,219.517,72.8821,BAOsCUL1p00107,H4
BAOsQT48p00111,C5,133.988,105.379,BAOsCUL1p00107,A5
BAOsQT48p00111,C6,148.931,105.556,BAOsCUL1p00107,B5
BAOsQT48p00111,C7,191.182,104.71,BAOsCUL1p00107,C5
BAOsQT48p00111,C8,205.08,105.86,BAOsCUL1p00107,D5
BAOsQT48p00111,D5,136.696,136.241,BAOsCUL1p00107,E5
BAOsQT48p00111,D6,155.674,139.213,BAOsCUL1p00107,F5
BAOsQT48p00111,D7,183.085,139.242,BAOsCUL1p00107,G5
BAOsQT48p00111,D8,210.28,139.844,BAOsCUL1p00107,H5
BAOsQT48p00111,E5,135.238,172.508,BAOsCUL1p00107,A6
BAOsQT48p00111,E6,164.753,170.135,BAOsCUL1p00107,B6
BAOsQT48p00111,E7,180.603,171.535,BAOsCUL1p00107,C6
BAOsQT48p00111,E8,211.111,173.385,BAOsCUL1p00107,D6
BAOsQT48p00111,F5,127.541,206.28,BAOsCUL1p00107,E6
BAOsQT48p00111,F6,164.65,206.936,BAOsCUL1p00107,F6
BAOsQT48p00111,F7,194.06,205.029,BAOsCUL1p00107,G6
BAOsQT48p00111,F8,218.418,207.045,BAOsCUL1p00107,H6
BAOsQT48p00112,A1,26.1362,38.9906,BAOsCUL1p00107,A7
BAOsQT48p00112,A2,51.0534,38.0751,BAOsCUL1p00107,B7
BAOsQT48p00112,A3,75.3729,31.4979,BAOsCUL1p00107,C7
BAOsQT48p00112,A4,99.7774,38.7322,BAOsCUL1p00107,D7
BAOsQT48p00112,B1,14.5869,70.3174,BAOsCUL1p00107,E7
BAOsQT48p00112,B2,49.089,72.0955,BAOsCUL1p00107,F7
BAOsQT48p00112,B3,68.6473,67.7233,BAOsCUL1p00107,G7
BAOsQT48p00112,B4,91.544,72.8859,BAOsCUL1p00107,H7
BAOsQT48p00112,C1,25.0897,106.073,BAOsCUL1p00107,A8
BAOsQT48p00112,C2,42.6508,106.065,BAOsCUL1p00107,B8
BAOsQT48p00112,C3,71.7179,105.817,BAOsCUL1p00107,C8
BAOsQT48p00112,C4,99.0414,106.211,BAOsCUL1p00107,D8
BAOsQT48p00112,D1,18.9187,139.728,BAOsCUL1p00107,E8
BAOsQT48p00112,D2,40.9978,139.858,BAOsCUL1p00107,F8
BAOsQT48p00112,D3,81.767,139.691,BAOsCUL1p00107,G8
BAOsQT48p00112,D4,93.1628,140.409,BAOsCUL1p00107,H8
BAOsQT48p00112,E1,21.4725,172.797,BAOsCUL1p00107,A9
BAOsQT48p00112,E2,43.306,173.144,BAOsCUL1p00107,B9
BAOsQT48p00112,E3,72.3649,172.163,BAOsCUL1p00107,C9
BAOsQT48p00112,E4,107.124,173.187,BAOsCUL1p00107,D9
BAOsQT48p00112,F1,22.6785,206.876,BAOsCUL1p00107,E9
BAOsQT48p00112,F2,52.209,206.952,BAOsCUL1p00107,F9
BAOsQT48p00112,F3,70.4729,205.49,BAOsCUL1p00107,G9
BAOsQT48p00112,F4,105.532,207.454,BAOsCUL1p00107,H9
BAOsQT48p00112,A5,124.5,39.0129,BAOsCUL1p00107,A10
BAOsQT48p00112,A6,157.895,37.6052,BAOsCUL1p00107,B10
BAOsQT48p00112,A7,181.974,38.8743,BAOsCUL1p00107,C10
BAOsQT48p00112,A8,215.927,36.9264,BAOsCUL1p00107,D10
BAOsQT48p00112,B5,125.602,72.8724,BAOsCUL1p00107,E10
BAOsQT48p00112,B6,162.772,72.3862,BAOsCUL1p00107,F10
BAOsQT48p00112,B7,188.517,72.8556,BAOsCUL1p00107,G10
BAOsQT48p00112,B8,215.815,72.8102,BAOsCUL1p00107,H10
BAOsQT48p00112,C5,129.188,106.278,BAOsCUL1p00107,A11
BAOsQT48p00112,C6,155.811,105.421,BAOsCUL1p00107,B11
BAOsQT48p00112,C7,188.706,105.146,BAOsCUL1p00107,C11
BAOsQT48p00112,C8,204.975,106.292,BAOsCUL1p00107,D11
BAOsQT48p00112,D5,125.716,139.746,BAOsCUL1p00107,E11
BAOsQT48p00112,D6,163.505,139.451,BAOsCUL1p00107,F11
BAOsQT48p00112,D7,187.981,139.615,BAOsCUL1p00107,G11
BAOsQT48p00112,D8,212.652,140.072,BAOsCUL1p00107,H11
BAOsQT48p00112,E5,136.738,173.424,BAOsCUL1p00107,A12
BAOsQT48p00112,E6,154.142,172.478,BAOsCUL1p00107,B12
BAOsQT48p00112,E7,188.63,173.139,BAOsCUL1p00107,C12
BAOsQT48p00112,E8,221.457,172.747,BAOsCUL1p00107,D12
BAOsQT48p00112,F5,121.858,205.67,BAOsCUL1p00107,E12
BAOsQT48p00112,F6,154.085,204.143,BAOsCUL1p00107,F12
BAOsQT48p00112,F7,178.635,207.188,BAOsCUL1p00107,G12
BAOsQT48p00112,F8,217.183,206.178,BAOsCUL1p00107,H12
