Source Barcode,Source Region,Destination Barcode,Destination Region
BAOsTRFOp00056,A1,BAOsQT48p00111,A1
BAOsTRFOp00056,B1,BAOsQT48p00111,A2
BAOsTRFOp00056,C1,BAOsQT48p00111,A3
BAOsTRFOp00056,D1,BAOsQT48p00111,A4
BAOsTRFOp00056,E1,BAOsQT48p00111,B1
BAOsTRFOp00056,F1,BAOsQT48p00111,B2
BAOsTRFOp00056,G1,BAOsQT48p00111,B3
BAOsTRFOp00056,H1,BAOsQT48p00111,B4
BAOsTRFOp00056,A2,BAOsQT48p00111,C1
BAOsTRFOp00056,B2,BAOsQT48p00111,C2
BAOsTRFOp00056,C2,BAOsQT48p00111,C3
BAOsTRFOp00056,D2,BAOsQT48p00111,C4
BAOsTRFOp00056,E2,BAOsQT48p00111,D1
BAOsTRFOp00056,F2,BAOsQT48p00111,D2
BAOsTRFOp00056,G2,BAOsQT48p00111,D3
BAOsTRFOp00056,H2,BAOsQT48p00111,D4
BAOsTRFOp00056,A3,BAOsQT48p00111,E1
BAOsTRFOp00056,B3,BAOsQT48p00111,E2
BAOsTRFOp00056,C3,BAOsQT48p00111,E3
BAOsTRFOp00056,D3,BAOsQT48p00111,E4
BAOsTRFOp00056,E3,BAOsQT48p00111,F1
BAOsTRFOp00056,F3,BAOsQT48p00111,F2
BAOsTRFOp00056,G3,BAOsQT48p00111,F3
BAOsTRFOp00056,H3,BAOsQT48p00111,F4
BAOsTRFOp00056,A4,BAOsQT48p00111,A5
BAOsTRFOp00056,B4,BAOsQT48p00111,A6
BAOsTRFOp00056,C4,BAOsQT48p00111,A7
BAOsTRFOp00056,D4,BAOsQT48p00111,A8
BAOsTRFOp00056,E4,BAOsQT48p00111,B5
BAOsTRFOp00056,F4,BAOsQT48p00111,B6
BAOsTRFOp00056,G4,BAOsQT48p00111,B7
BAOsTRFOp00056,H4,BAOsQT48p00111,B8
BAOsTRFOp00056,A5,BAOsQT48p00111,C5
BAOsTRFOp00056,B5,BAOsQT48p00111,C6
BAOsTRFOp00056,C5,BAOsQT48p00111,C7
BAOsTRFOp00056,D5,BAOsQT48p00111,C8
BAOsTRFOp00056,E5,BAOsQT48p00111,D5
BAOsTRFOp00056,F5,BAOsQT48p00111,D6
BAOsTRFOp00056,G5,BAOsQT48p00111,D7
BAOsTRFOp00056,H5,BAOsQT48p00111,D8
BAOsTRFOp00056,A6,BAOsQT48p00111,E5
BAOsTRFOp00056,B6,BAOsQT48p00111,E6
BAOsTRFOp00056,C6,BAOsQT48p00111,E7
BAOsTRFOp00056,D6,BAOsQT48p00111,E8
BAOsTRFOp00056,E6,BAOsQT48p00111,F5
BAOsTRFOp00056,F6,BAOsQT48p00111,F6
BAOsTRFOp00056,G6,BAOsQT48p00111,F7
BAOsTRFOp00056,H6,BAOsQT48p00111,F8
BAOsTRFOp00056,A7,BAOsQT48p00112,A1
BAOsTRFOp00056,B7,BAOsQT48p00112,A2
BAOsTRFOp00056,C7,BAOsQT48p00112,A3
BAOsTRFOp00056,D7,BAOsQT48p00112,A4
BAOsTRFOp00056,E7,BAOsQT48p00112,B1
BAOsTRFOp00056,F7,BAOsQT48p00112,B2
BAOsTRFOp00056,G7,BAOsQT48p00112,B3
BAOsTRFOp00056,H7,BAOsQT48p00112,B4
BAOsTRFOp00056,A8,BAOsQT48p00112,C1
BAOsTRFOp00056,B8,BAOsQT48p00112,C2
BAOsTRFOp00056,C8,BAOsQT48p00112,C3
BAOsTRFOp00056,D8,BAOsQT48p00112,C4
BAOsTRFOp00056,E8,BAOsQT48p00112,D1
BAOsTRFOp00056,F8,BAOsQT48p00112,D2
BAOsTRFOp00056,G8,BAOsQT48p00112,D3
BAOsTRFOp00056,H8,BAOsQT48p00112,D4
BAOsTRFOp00056,A9,BAOsQT48p00112,E1
BAOsTRFOp00056,B9,BAOsQT48p00112,E2
BAOsTRFOp00056,C9,BAOsQT48p00112,E3
BAOsTRFOp00056,D9,BAOsQT48p00112,E4
BAOsTRFOp00056,E9,BAOsQT48p00112,F1
BAOsTRFOp00056,F9,BAOsQT48p00112,F2
BAOsTRFOp00056,G9,BAOsQT48p00112,F3
BAOsTRFOp00056,H9,BAOsQT48p00112,F4
BAOsTRFOp00056,A10,BAOsQT48p00112,A5
BAOsTRFOp00056,B10,BAOsQT48p00112,A6
BAOsTRFOp00056,C10,BAOsQT48p00112,A7
BAOsTRFOp00056,D10,BAOsQT48p00112,A8
BAOsTRFOp00056,E10,BAOsQT48p00112,B5
BAOsTRFOp00056,F10,BAOsQT48p00112,B6
BAOsTRFOp00056,G10,BAOsQT48p00112,B7
BAOsTRFOp00056,H10,BAOsQT48p00112,B8
BAOsTRFOp00056,A11,BAOsQT48p00112,C5
BAOsTRFOp00056,B11,BAOsQT48p00112,C6
BAOsTRFOp00056,C11,BAOsQT48p00112,C7
BAOsTRFOp00056,D11,BAOsQT48p00112,C8
BAOsTRFOp00056,E11,BAOsQT48p00112,D5
BAOsTRFOp00056,F11,BAOsQT48p00112,D6
BAOsTRFOp00056,G11,BAOsQT48p00112,D7
BAOsTRFOp00056,H11,BAOsQT48p00112,D8
BAOsTRFOp00056,A12,BAOsQT48p00112,E5
BAOsTRFOp00056,B12,BAOsQT48p00112,E6
BAOsTRFOp00056,C12,BAOsQT48p00112,E7
BAOsTRFOp00056,D12,BAOsQT48p00112,E8
BAOsTRFOp00056,E12,BAOsQT48p00112,F5
BAOsTRFOp00056,F12,BAOsQT48p00112,F6
BAOsTRFOp00056,G12,BAOsQT48p00112,F7
BAOsTRFOp00056,H12,BAOsQT48p00112,F8
