Well,Sample ID,ng/ul,Size (bp),% (Conc.) (ng/uL),nmole/L,RFU,TIC (ng/ul),TIM (nmole/L),Total Conc. (ng/ul),DQN,Threshold
A1,SampA1,0.5248,35,,25.2198,13926,48.4214,161.9514,48.9619,,
A1,SampA1,2.2037,100,4.6,36.1868,5879,48.4214,161.9514,48.9619,,
A1,SampA1,2.8155,200,5.8,23.1464,8612,48.4214,161.9514,48.9619,,
A1,SampA1,2.9135,300,6.0,15.9753,9435,48.4214,161.9514,48.9619,,
A1,SampA1,2.9873,400,6.2,12.3182,10457,48.4214,161.9514,48.9619,,
A1,SampA1,8.1300,500,16.8,26.7558,28468,48.4214,161.9514,48.9619,,
A1,SampA1,2.6258,600,5.4,7.2138,9248,48.4214,161.9514,48.9619,,
A1,SampA1,2.5410,700,5.2,5.9825,9296,48.4214,161.9514,48.9619,,
A1,SampA1,2.6403,800,5.5,5.4456,9551,48.4214,161.9514,48.9619,,
A1,SampA1,2.6783,900,5.5,4.9090,9990,48.4214,161.9514,48.9619,,
A1,SampA1,8.2796,1000,17.1,13.6550,27477,48.4214,161.9514,48.9619,,
A1,SampA1,2.7828,1200,5.7,3.8362,10213,48.4214,161.9514,48.9619,,
A1,SampA1,2.7131,1500,5.6,2.9952,8189,48.4214,161.9514,48.9619,,
A1,SampA1,2.6068,2000,5.4,2.1531,9950,48.4214,161.9514,48.9619,,
A1,SampA1,2.5038,3000,5.2,1.3785,9069,48.4214,161.9514,48.9619,,
A1,SampA1,0.5000,5000,,0.1650,19514,48.4214,161.9514,48.9619,,
A2,SampA2,0.5749,35,,26.8453,14841,17.5846,70.3047,17.8851,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.1048,62,0.6,2.6850,65,17.5846,70.3047,17.8851,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.0701,76,0.4,1.4932,84,17.5846,70.3047,17.8851,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,0.0775,386,0.4,0.3328,96,17.5846,70.3047,17.8851,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,15.9903,433,90.9,61.3284,28554,17.5846,70.3047,17.8851,N/A (Size threshold is less than lower marker end point),0
A2,SampA2,1.1443,458,6.5,4.0494,509,17.5846,70.3047,17.8851,N/A (Size threshold is less than lower marker end point),0
