Well,Sample ID,DQN,Size Threshold (bp),Total Conc. (ng/uL)
A1,SampA1,,,
A2,SampA2,N/A,0,30.7617
A3,SampA3,N/A,0,34.2816
A4,SampA4,N/A,0,33.8121
A5,SampA5,N/A,0,6.7352
A6,SampA6,N/A,0,41.4421
A7,SampA7,N/A,0,141.7411
A8,SampA8,N/A,0,238.4945
A9,SampA9,N/A,0,45.3040
A10,SampA10,N/A,0,23.7767
A11,SampA11,N/A,0,10.9921
A12,SampA12,N/A,0,26.0812
B1,SampB1,N/A,0,11.7113
B2,SampB2,N/A,0,8.9515
B3,SampB3,N/A,0,8.5635
B4,SampB4,N/A,0,21.9349
B5,SampB5,N/A,0,15.2751
B6,SampB6,N/A,0,26.7107
B7,SampB7,N/A,0,104.6309
B8,SampB8,N/A,0,26.9768
B9,SampB9,N/A,0,20.4713
B10,SampB10,N/A,0,25.5045
B11,SampB11,N/A,0,56.9017
B12,SampB12,N/A,0,41.7074
C1,SampC1,N/A,0,12.7407
C2,SampC2,N/A,0,16.3223
C3,SampC3,N/A,0,22.6829
C4,SampC4,N/A,0,135.2293
C5,SampC5,N/A,0,17.7199
C6,SampC6,N/A,0,25.9124
C7,SampC7,N/A,0,28.5785
C8,SampC8,N/A,0,32.5033
C9,SampC9,N/A,0,46.6990
C10,SampC10,N/A,0,53.3332
C11,SampC11,N/A,0,14.2039
C12,SampC12,N/A,0,19.5017
D1,SampD1,N/A,0,15.5430
D2,SampD2,N/A,0,27.8401
D3,SampD3,N/A,0,34.8360
D4,SampD4,N/A,0,52.9004
D5,SampD5,N/A,0,12.6007
D6,SampD6,N/A,0,24.6921
D7,SampD7,N/A,0,9.6170
D8,SampD8,N/A,0,20.4493
D9,SampD9,N/A,0,11.2731
D10,SampD10,N/A,0,7.9040
D11,SampD11,N/A,0,9.9875
D12,SampD12,N/A,0,22.0508
E1,SampE1,N/A,0,12.6613
E2,SampE2,N/A,0,26.8753
E3,SampE3,N/A,0,8.9405
E4,SampE4,N/A,0,13.9469
E5,SampE5,N/A,0,37.7608
E6,SampE6,N/A,0,43.8536
E7,SampE7,N/A,0,7.9948
E8,SampE8,N/A,0,18.0513
E9,SampE9,N/A,0,7.0026
E10,SampE10,N/A,0,40.2000
E11,SampE11,N/A,0,16.4490
E12,SampE12,N/A,0,9.0719
F1,SampF1,N/A,0,13.5862
F2,SampF2,N/A,0,21.6865
F3,SampF3,N/A,0,10.9271
F4,SampF4,N/A,0,30.8952
F5,SampF5,N/A,0,19.5132
F6,SampF6,N/A,0,25.9532
F7,SampF7,N/A,0,26.9830
F8,SampF8,N/A,0,33.2366
F9,SampF9,N/A,0,51.6964
F10,SampF10,N/A,0,23.4882
F11,SampF11,N/A,0,14.6306
F12,SampF12,N/A,0,21.6942
G1,SampG1,N/A,0,16.2317
G2,SampG2,N/A,0,16.9658
G3,SampG3,N/A,0,28.0736
G4,SampG4,N/A,0,7.5847
G5,SampG5,N/A,0,24.2176
G6,SampG6,N/A,0,17.4365
G7,SampG7,N/A,0,160.8947
G8,SampG8,N/A,0,24.7994
G9,SampG9,N/A,0,44.1447
G10,SampG10,N/A,0,15.8341
G11,SampG11,N/A,0,34.3342
G12,SampG12,N/A,0,23.4531
H1,SampH1,N/A,0,4.1973
H2,SampH2,N/A,0,12.7154
H3,SampH3,N/A,0,11.7049
H4,SampH4,N/A,0,8.0792
H5,SampH5,N/A,0,19.8927
H6,SampH6,N/A,0,8.5187
H7,SampH7,N/A,0,21.7340
H8,SampH8,N/A,0,1.3317
H9,SampH9,N/A,0,14.8598
H10,SampH10,N/A,0,8.2744
H11,SampH11,N/A,0,26.5604
H12,SampH12,N/A,0,25.1818
